Epoch 1: Train Loss=4.3153 | Train Acc=9.75% | Val Acc=16.02% | Time=263.43s
Epoch 2: Train Loss=3.5735 | Train Acc=19.65% | Val Acc=22.12% | Time=262.53s
Epoch 3: Train Loss=3.2021 | Train Acc=26.28% | Val Acc=28.59% | Time=261.59s
Epoch 4: Train Loss=2.9275 | Train Acc=31.27% | Val Acc=28.38% | Time=261.71s
Epoch 5: Train Loss=2.7130 | Train Acc=35.47% | Val Acc=32.47% | Time=261.45s
Epoch 6: Train Loss=2.5266 | Train Acc=39.20% | Val Acc=36.21% | Time=261.63s
Epoch 7: Train Loss=2.3688 | Train Acc=42.36% | Val Acc=38.04% | Time=261.65s
Epoch 8: Train Loss=2.2206 | Train Acc=45.21% | Val Acc=37.86% | Time=261.83s
Epoch 9: Train Loss=2.0766 | Train Acc=48.34% | Val Acc=39.79% | Time=261.52s
Epoch 10: Train Loss=1.9343 | Train Acc=51.12% | Val Acc=41.83% | Time=260.92s
Epoch 11: Train Loss=1.5896 | Train Acc=59.52% | Val Acc=45.15% | Time=261.41s
Epoch 12: Train Loss=1.4358 | Train Acc=62.96% | Val Acc=43.85% | Time=261.40s
Epoch 13: Train Loss=1.2948 | Train Acc=66.24% | Val Acc=44.02% | Time=261.18s
Epoch 14: Train Loss=1.1585 | Train Acc=69.80% | Val Acc=43.58% | Time=260.86s
Epoch 15: Train Loss=1.0176 | Train Acc=73.15% | Val Acc=43.53% | Time=261.61s
Epoch 16: Train Loss=0.8781 | Train Acc=76.99% | Val Acc=42.93% | Time=261.02s
Epoch 17: Train Loss=0.7585 | Train Acc=80.35% | Val Acc=42.49% | Time=260.96s
Epoch 18: Train Loss=0.6431 | Train Acc=83.66% | Val Acc=41.44% | Time=260.88s
Epoch 19: Train Loss=0.5373 | Train Acc=86.47% | Val Acc=40.14% | Time=261.08s
Epoch 20: Train Loss=0.4530 | Train Acc=88.90% | Val Acc=39.81% | Time=260.69s
Epoch 21: Train Loss=0.2756 | Train Acc=94.81% | Val Acc=43.05% | Time=261.96s
Epoch 22: Train Loss=0.2250 | Train Acc=96.26% | Val Acc=42.63% | Time=262.25s
Epoch 23: Train Loss=0.2000 | Train Acc=96.78% | Val Acc=42.62% | Time=262.11s
Epoch 24: Train Loss=0.1748 | Train Acc=97.48% | Val Acc=42.04% | Time=261.81s
Epoch 25: Train Loss=0.1553 | Train Acc=97.80% | Val Acc=41.43% | Time=261.84s
Epoch 26: Train Loss=0.1372 | Train Acc=98.23% | Val Acc=41.36% | Time=261.64s
Epoch 27: Train Loss=0.1234 | Train Acc=98.49% | Val Acc=40.75% | Time=261.77s
Epoch 28: Train Loss=0.1126 | Train Acc=98.62% | Val Acc=41.13% | Time=261.52s
Epoch 29: Train Loss=0.1022 | Train Acc=98.77% | Val Acc=41.08% | Time=261.85s
Epoch 30: Train Loss=0.0954 | Train Acc=98.85% | Val Acc=41.32% | Time=262.45s
Epoch 31: Train Loss=0.0617 | Train Acc=99.54% | Val Acc=42.18% | Time=262.22s
Epoch 32: Train Loss=0.0538 | Train Acc=99.63% | Val Acc=42.04% | Time=262.02s
Epoch 33: Train Loss=0.0512 | Train Acc=99.68% | Val Acc=41.95% | Time=262.47s
Epoch 34: Train Loss=0.0490 | Train Acc=99.69% | Val Acc=41.40% | Time=262.56s
Epoch 35: Train Loss=0.0463 | Train Acc=99.73% | Val Acc=41.62% | Time=262.35s
Epoch 36: Train Loss=0.0442 | Train Acc=99.71% | Val Acc=41.53% | Time=262.63s
Epoch 37: Train Loss=0.0430 | Train Acc=99.74% | Val Acc=41.60% | Time=262.71s
Epoch 38: Train Loss=0.0408 | Train Acc=99.74% | Val Acc=41.92% | Time=262.51s
Epoch 39: Train Loss=0.0402 | Train Acc=99.76% | Val Acc=41.33% | Time=262.53s
Epoch 40: Train Loss=0.0383 | Train Acc=99.78% | Val Acc=41.73% | Time=262.82s
Epoch 41: Train Loss=0.0294 | Train Acc=99.90% | Val Acc=42.13% | Time=262.45s
Epoch 42: Train Loss=0.0276 | Train Acc=99.91% | Val Acc=42.33% | Time=262.89s
Epoch 43: Train Loss=0.0271 | Train Acc=99.89% | Val Acc=41.91% | Time=262.95s
Epoch 44: Train Loss=0.0265 | Train Acc=99.91% | Val Acc=41.90% | Time=262.87s
Epoch 45: Train Loss=0.0258 | Train Acc=99.90% | Val Acc=41.92% | Time=261.35s
Epoch 46: Train Loss=0.0250 | Train Acc=99.92% | Val Acc=41.76% | Time=260.85s
Epoch 47: Train Loss=0.0247 | Train Acc=99.92% | Val Acc=41.65% | Time=260.49s
Epoch 48: Train Loss=0.0249 | Train Acc=99.91% | Val Acc=41.89% | Time=260.44s
Epoch 49: Train Loss=0.0239 | Train Acc=99.93% | Val Acc=41.71% | Time=260.08s
Epoch 50: Train Loss=0.0241 | Train Acc=99.93% | Val Acc=41.69% | Time=260.28s

==============================
Total Training Time: 13088.06 seconds
Average Epoch Time: 261.76 seconds
==============================
